,User_ID,Gender,Age,Height,Weight,Activities,Total_cal
0,14733363,male,68,190.0,94.0,5,3498.66
1,14861698,female,20,166.0,60.0,3,2225.49
2,11179863,male,69,179.0,79.0,2,2164.39
3,16180408,female,34,179.0,71.0,3,2323.45
4,17771927,female,27,154.0,58.0,1,1634.52
5,15130815,female,36,151.0,50.0,4,2134.86
6,19602372,female,33,158.0,56.0,4,2280.28
7,11117088,male,41,175.0,85.0,4,3151.06
8,12132339,male,60,186.0,94.0,4,3235.76
9,17964668,female,26,146.0,51.0,3,1992.06
10,13723164,female,36,177.0,76.0,1,1840.8
11,13681290,female,21,157.0,56.0,3,2133.57
12,15566424,male,66,171.0,79.0,2,2137.44
13,12891699,female,32,157.0,54.0,3,2023.68
14,13823829,male,53,182.0,85.0,1,2136.12
15,17557348,female,39,156.0,62.0,5,2560.63
16,12198133,male,39,182.0,82.0,1,2201.04
17,15236104,male,46,169.0,67.0,2,2084.64
18,11042324,female,27,171.0,65.0,1,1751.88
19,16864285,male,50,188.0,86.0,3,2858.51
20,11674347,male,67,189.0,93.0,1,2195.4
21,19797300,female,31,148.0,50.0,1,1506.84
22,14711095,female,33,157.0,60.0,1,1630.2
23,14434854,female,20,165.0,59.0,4,2457.09
24,14893804,male,48,182.0,85.0,1,2176.92
25,17231597,male,29,176.0,75.0,1,2131.56
26,10901446,male,33,173.0,73.0,1,2048.04
27,15874362,male,42,190.0,88.0,1,2323.2
28,15569252,female,62,159.0,59.0,5,2310.78
29,15615743,male,38,171.0,75.0,1,2028.12
30,13363046,male,20,183.0,88.0,3,3178.43
31,17572853,female,25,160.0,59.0,4,2401.03
32,17157339,female,24,165.0,59.0,3,2178.68
33,18328111,female,42,165.0,68.0,3,2181.47
34,19303479,male,22,182.0,84.0,5,3756.68
35,10699201,female,74,158.0,59.0,2,1592.25
36,15283313,female,70,154.0,59.0,2,1608.2
37,16324247,female,26,182.0,80.0,3,2524.02
38,14277710,male,44,184.0,86.0,5,3543.5
39,10888188,male,61,183.0,86.0,1,2093.28
40,13379795,female,68,157.0,57.0,3,1806.06
41,17181524,female,61,176.0,70.0,4,2341.0
42,15988442,male,63,179.0,80.0,5,3094.34
43,19538533,female,54,171.0,66.0,4,2315.99
44,14591877,female,54,169.0,66.0,1,1606.8
45,14274480,female,47,155.0,55.0,3,1923.7
46,16818429,male,33,184.0,86.0,2,2667.22
47,17476522,female,24,171.0,66.0,4,2559.21
48,16369885,male,24,195.0,98.0,3,3441.62
49,17816292,male,48,152.0,59.0,1,1569.48
50,15995398,male,35,193.0,93.0,1,2480.52
51,17615432,male,21,168.0,71.0,1,2083.08
52,10146087,female,21,179.0,73.0,2,2171.54
53,17967445,female,22,158.0,62.0,4,2468.82
54,19670291,female,69,174.0,69.0,1,1567.56
55,10580576,male,53,191.0,101.0,4,3526.42
56,15854213,female,68,155.0,58.0,3,1815.36
57,11138472,female,69,164.0,65.0,5,2374.81
58,18276801,male,28,198.0,101.0,3,3486.41
59,13823902,male,70,188.0,89.0,1,2099.16
60,19222133,female,36,170.0,64.0,2,1933.53
61,13231909,female,77,177.0,80.0,3,2138.53
62,12726617,female,32,167.0,63.0,3,2185.5
63,12538968,female,62,185.0,77.0,2,1974.22
64,10941668,female,64,151.0,56.0,3,1803.58
65,12628985,male,45,175.0,79.0,4,2962.34
66,17691320,male,45,158.0,61.0,3,2147.83
67,17822027,female,22,177.0,71.0,2,2133.72
68,13777657,male,45,169.0,69.0,5,2945.57
69,19423359,female,66,174.0,69.0,5,2508.76
70,14701930,male,31,182.0,83.0,4,3281.47
71,11513205,female,57,163.0,68.0,5,2533.27
72,11842710,male,53,192.0,93.0,2,2667.09
73,12576313,female,22,179.0,67.0,1,1820.4
74,12367125,male,67,192.0,92.0,5,3478.52
75,16913504,female,27,168.0,64.0,1,1733.88
76,19439155,male,57,178.0,83.0,1,2046.6
